-0.182206,-0.247404,1.00097,-0.849151,16.8425,-0.842827,0.503315,1.00112,-0.849151,0
-0.330605,-1.1797,1.33081,-1.71975,17.389,-0.182206,-0.247404,1.00097,-0.849151,16.8425
-0.10284,-1.98591,1.87684,-1.34101,18.0073,-0.330605,-1.1797,1.33081,-1.71975,17.389
-1.45594,1.27333,1.17765,2.23079,14.8574,-0.842827,0.503315,1.00112,-0.849151,0
-2.40801,1.57596,1.13314,2.83073,13.9905,-1.45594,1.27333,1.17765,2.23079,14.8574
-1.05947,-2.23292,2.03124,-2.84601,17.3151,-0.10284,-1.98591,1.87684,-1.34101,18.0073
-0.96555,2.00417,1.6524,1.05826,14.5628,-1.45594,1.27333,1.17765,2.23079,14.8574
-1.74708,-2.86207,1.6688,-2.32898,17.005,-1.05947,-2.23292,2.03124,-2.84601,17.3151
-0.0127972,2.26267,1.8119,0.308623,14.8361,-0.96555,2.00417,1.6524,1.05826,14.5628
-1.17954,-2.76404,2.69054,-1.71167,17.2839,-1.05947,-2.23292,2.03124,-2.84601,17.3151
-2.46756,-3.46676,1.32929,-2.37528,16.5183,-1.74708,-2.86207,1.6688,-2.32898,17.005
0.41138,3.14869,1.62469,1.13274,14.2475,-0.0127972,2.26267,1.8119,0.308623,14.8361
-3.22927,-3.43809,1.97657,2.43675,15.713,-2.46756,-3.46676,1.32929,-2.37528,16.5183
1.24632,2.75811,2.01241,-0.58278,14.8789,0.41138,3.14869,1.62469,1.13274,14.2475
-2.77936,2.36952,1.61517,1.95125,13.1409,-2.40801,1.57596,1.13314,2.83073,13.9905
