-7.36502e-14,2.82674e-11,0.13,-1.64878e-17
-7.36528e-14,2.82674e-11,0.13,-2.17211e-17
-7.36533e-14,2.82674e-11,0.13,-2.67792e-17
-7.36538e-14,2.82674e-11,0.13,-3.18972e-17
-7.36545e-14,2.82674e-11,0.13,-3.70009e-17
-7.3656e-14,2.82674e-11,0.13,-4.20807e-17
-7.36556e-14,2.82674e-11,0.13,-4.70926e-17
-7.36564e-14,2.82674e-11,0.13,-5.21194e-17
-7.36571e-14,2.82674e-11,0.13,-5.71872e-17
-7.36571e-14,2.82674e-11,0.13,-6.22334e-17
-7.36569e-14,2.82674e-11,0.13,-6.73064e-17
-7.36562e-14,2.82674e-11,0.13,-7.2356e-17
-7.36547e-14,2.82674e-11,0.13,-7.74471e-17
-7.36516e-14,2.82674e-11,0.13,-8.23187e-17
-7.36541e-14,2.82674e-11,0.13,-8.75517e-17
-7.36538e-14,2.82674e-11,0.13,-9.25983e-17
-7.36534e-14,2.82674e-11,0.13,-9.76309e-17
-7.36537e-14,2.82674e-11,0.13,-1.02729e-16
-7.36537e-14,2.82674e-11,0.13,-1.07792e-16
1.34904e-05,2.17683e-09,0.208152,-1.91426e-12
0.000115316,5.36389e-08,0.401891,3.25303e-11
0.000228954,2.82195e-07,0.607323,7.08629e-11
0.000281625,6.11431e-07,0.776208,5.92682e-11
0.000289,-2.22838e-07,0.899493,-0.024086
0.000282172,-1.19933e-05,0.977583,-0.0850788
0.000274979,-3.48393e-05,1.02061,-0.163852
0.000271211,-6.13707e-05,1.04003,-0.247425
0.000271971,-8.84089e-05,1.04798,-0.345868
0.000274215,-0.000131959,1.04821,-0.468629
0.000263306,-0.00018217,1.0445,-0.599335
0.000240771,-0.00021872,1.03965,-0.726993
0.000217794,-0.000244548,1.03728,-0.86498
0.000188431,-0.000281962,1.03474,-1.01608
0.000143271,-0.000317027,1.03228,-1.1678
9.43118e-05,-0.000332179,1.0301,-1.31133
5.35119e-05,-0.000334731,1.03053,-1.45711
6.33139e-06,-0.000343062,1.03047,-1.61406
-5.28833e-05,-0.000345716,1.02985,-1.77076
-0.000106705,-0.000330718,1.02898,-1.91883
-0.000146971,-0.000307939,1.03001,-2.07058
